name,code,type,lat,long,dates,trip,stay
New York,NYC,city,40.72108442108943, -73.99598550839467,Many Times,,
Provincetown,CACO,town,42.04898739579479, -70.19961922195144,Many Times,,
Truro,TURO,town,42.006142699230544, -70.06915658704361,Many Time,,
Acadia,ACAD,nationalPark,44.3488491428598, -68.27209061391221,A Time,,
Bridgton,BRID,town,44.05432703186574, -70.71262559591042,A Time,,
Bar Harbor,BAHAR,town,44.386402129241695, -68.19868079417607,A Time,,
Washington Dc,WADC,city,38.90769985818508, -77.04743153769562,A Time,,
Potomac,POTM,town,39.04115960187439, -77.19034906511747,Many Times,,
Naples,NAPL,city,26.14075974859082, -81.79728905556337,Many Times,,
Fort Myers,FTMY,city,26.642696760643283, -81.85472348567563,Many Times,,
San Francisco,SAFR,city,37.773712840831706, -122.41288076698912,A Time,,
Houston,HOUT,city,29.75863282704754, -95.35407332235013,A Time,,
Montreal,MOTR,city,45.4966478321489, -73.56081135168566,A Time,,
Bermuda,BERM,resort,32.270413921527535, -64.87577318132455,A Time,,
Mt Washington,MTWA,nationalPark,44.27153745927812, -71.30335813135487,A Time,,
Tamarindo,TARI,town,10.297384017919788, -85.84017275248843,A Time,,
Boston,BOST,city,42.3523172104093,-71.05518097826045,meow,,
Logan International Airport,LOAR,AIRPORT,42.36642695539527, -71.01937601406813,6/12/2025,portugal,through
Humberto Delgado Airport,HUDE,AIRPORT_INT,38.7797459944043, -9.132012700441736,6/13/2025,portugal,through
Lisbon,LISB,city,38.721444399802536, -9.146295763265787,6/13/2025-6/16/2025,portugal,stay
Sintra,SINT,town,38.802432784657675, -9.382555797093001,6/16/2025,portugal,through
Torres Vedras,TOVE,town,39.091165800268335, -9.259207602601165,6/16/2025,portugal,through
Paria Del Rey Portugal,PDRP,resort,39.38768233065305, -9.28620425530794,6/16/2025;6/17/2025,portugal,stay
Obidos,OBID,town,39.35769568468899, -9.159589193369547,6/17/2025,portugal,visit
Caldas da Rainha,CDRA,town,39.40460049232336, -9.141634295147153,6/17/2025,portugal,visit
Foz do Arelho,FODA,beach,39.43594658994609, -9.220062382949996,6/17/2025,portugal,visit
Paria Del Rey Portugal,PDRP,resort,39.38768233065305, -9.28620425530794,6/18/2025,portugal,stay
Peniche,PENC,town,39.36014860550417, -9.387204282377528,6/18/2025,portugal,visit
Reserva Natural das Berlengas,RNDB,nationalPark,39.41501040195802, -9.50693030433991,portugal,visit
Pegadas De Dinossauro,PEDD,nationalPark,39.50728649389884, -9.176986776222938,6/19/2025,portugal,through
Nazare,NAZR,town,39.60142844892871, -9.06949572187929,6/19/2025,portugal,through
Leiria,LEIR,city,39.748782390977894, -8.806302029456129,6/19/2025,portugal,through
Coimbra,COIM,city,40.204378655789, -8.410094546492141,6/19/2025,portugal,through
Porto,PORT,city,41.157795406429976, -8.626416849852568,6/19/2025-6/21/2025,portugal,stay
Francisco Sa Carneiro Airport,FSCA,AIRPORT_INT,41.24764926680866, -8.680513596439852,6/21/2025,portugal,through
Logan International Airport,LOAR,AIRPORT,42.36642695539527, -71.01937601406813,6/21/2025,portugal,through
